# exact coordinates (udg.F repr), subset |x|<1.2074 of small5_r15; edges = all exact unit pairs
P(0, 1/6*sqrt(3) + 1/6*sqrt(11))
P(1/4 + 1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
P(-1/4 + -1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
P(-2/3, -1/3*sqrt(3) + 1/3*sqrt(11))
P(2/3, -1/3*sqrt(3) + 1/3*sqrt(11))
P(-1/6 + 1/6*sqrt(33), 1/2*sqrt(3) + -1/6*sqrt(11))
P(-5/6 + 1/6*sqrt(33), -1/6*sqrt(3) + -1/6*sqrt(11))
P(5/6 + -1/6*sqrt(33), -1/6*sqrt(3) + -1/6*sqrt(11))
P(1/6 + -1/6*sqrt(33), 1/2*sqrt(3) + -1/6*sqrt(11))
P(-1/12 + -1/12*sqrt(33), 1/4*sqrt(3) + 1/12*sqrt(11))
P(-1/3, 1/6*sqrt(3) + 1/6*sqrt(11))
P(1/3, 1/6*sqrt(3) + 1/6*sqrt(11))
P(1/12 + 1/12*sqrt(33), 1/4*sqrt(3) + 1/12*sqrt(11))
P(5/12 + 1/12*sqrt(33), -1/12*sqrt(3) + 1/12*sqrt(11))
P(5/12 + 1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(1/12 + 1/12*sqrt(33), -1/4*sqrt(3) + -1/12*sqrt(11))
P(1/3, -1/6*sqrt(3) + -1/6*sqrt(11))
P(-1/3, -1/6*sqrt(3) + -1/6*sqrt(11))
P(-1/12 + -1/12*sqrt(33), -1/4*sqrt(3) + -1/12*sqrt(11))
P(-5/12 + -1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(-5/12 + -1/12*sqrt(33), -1/12*sqrt(3) + 1/12*sqrt(11))
P(5/12 + -1/12*sqrt(33), 5/12*sqrt(3) + 1/12*sqrt(11))
P(-5/12 + 1/12*sqrt(33), 5/12*sqrt(3) + 1/12*sqrt(11))
P(5/12 + 1/12*sqrt(33), -5/12*sqrt(3) + 1/12*sqrt(11))
P(5/6, -1/6*sqrt(11))
P(-5/6, -1/6*sqrt(11))
P(-5/12 + -1/12*sqrt(33), -5/12*sqrt(3) + 1/12*sqrt(11))
P(-2/3, 1/6*sqrt(3) + 1/6*sqrt(11))
P(1/12 + -1/12*sqrt(33), 5/12*sqrt(3) + 1/12*sqrt(11))
P(-1/12 + 1/12*sqrt(33), 5/12*sqrt(3) + 1/12*sqrt(11))
P(2/3, 1/6*sqrt(3) + 1/6*sqrt(11))
P(7/12 + 1/12*sqrt(33), 1/4*sqrt(3) + -1/12*sqrt(11))
P(7/12 + 1/12*sqrt(33), -1/4*sqrt(3) + 1/12*sqrt(11))
P(2/3, -1/6*sqrt(3) + -1/6*sqrt(11))
P(-1/12 + 1/12*sqrt(33), -5/12*sqrt(3) + -1/12*sqrt(11))
P(1/12 + -1/12*sqrt(33), -5/12*sqrt(3) + -1/12*sqrt(11))
P(-2/3, -1/6*sqrt(3) + -1/6*sqrt(11))
P(-7/12 + -1/12*sqrt(33), -1/4*sqrt(3) + 1/12*sqrt(11))
P(-7/12 + -1/12*sqrt(33), 1/4*sqrt(3) + -1/12*sqrt(11))
P(-5/12 + -1/12*sqrt(33), 1/4*sqrt(3) + 1/12*sqrt(11))
P(-1/6, 1/3*sqrt(3) + 1/6*sqrt(11))
P(1/6, 1/3*sqrt(3) + 1/6*sqrt(11))
P(5/12 + 1/12*sqrt(33), 1/4*sqrt(3) + 1/12*sqrt(11))
P(7/12 + 1/12*sqrt(33), 1/12*sqrt(3) + 1/12*sqrt(11))
P(7/12 + 1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
P(5/12 + 1/12*sqrt(33), -1/4*sqrt(3) + -1/12*sqrt(11))
P(1/6, -1/3*sqrt(3) + -1/6*sqrt(11))
P(-1/6, -1/3*sqrt(3) + -1/6*sqrt(11))
P(-5/12 + -1/12*sqrt(33), -1/4*sqrt(3) + -1/12*sqrt(11))
P(-7/12 + -1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
P(-7/12 + -1/12*sqrt(33), 1/12*sqrt(3) + 1/12*sqrt(11))
P(-1, 1/3*sqrt(3))
P(1/6 + -1/6*sqrt(33), 1/6*sqrt(3) + 1/6*sqrt(11))
P(-1/3, 1/3*sqrt(11))
P(0, 2/3*sqrt(3))
P(1/3, 1/3*sqrt(11))
P(-1/6 + 1/6*sqrt(33), 1/6*sqrt(3) + 1/6*sqrt(11))
P(1, 1/3*sqrt(3))
P(1/6 + 1/6*sqrt(33), -1/6*sqrt(3) + 1/6*sqrt(11))
P(1/6 + 1/6*sqrt(33), 1/6*sqrt(3) + -1/6*sqrt(11))
P(1, -1/3*sqrt(3))
P(-1/6 + 1/6*sqrt(33), -1/6*sqrt(3) + -1/6*sqrt(11))
P(1/3, -1/3*sqrt(11))
P(0, -2/3*sqrt(3))
P(-1/3, -1/3*sqrt(11))
P(1/6 + -1/6*sqrt(33), -1/6*sqrt(3) + -1/6*sqrt(11))
P(-1, -1/3*sqrt(3))
P(-1/6 + -1/6*sqrt(33), 1/6*sqrt(3) + -1/6*sqrt(11))
P(-1/6 + -1/6*sqrt(33), -1/6*sqrt(3) + 1/6*sqrt(11))
P(-2/3 + 1/6*sqrt(33), -1/3*sqrt(3) + -1/6*sqrt(11))
P(-1/6 + -1/6*sqrt(33), 1/2*sqrt(3) + -1/6*sqrt(11))
P(2/3 + -1/6*sqrt(33), 1/3*sqrt(3) + -1/6*sqrt(11))
P(1/3, 0)
P(13/12 + -1/12*sqrt(33), -7/12*sqrt(3) + 1/12*sqrt(11))
P(-5/6, -1/6*sqrt(3) + 1/3*sqrt(11))
P(-1/6, 1/6*sqrt(3))
P(1/3, 5/6*sqrt(3) + -1/6*sqrt(11))
P(2/3 + -1/6*sqrt(33), -1/3*sqrt(3) + -1/6*sqrt(11))
P(5/6 + -1/6*sqrt(33), 1/6*sqrt(3) + -1/6*sqrt(11))
P(17/12 + -1/12*sqrt(33), -1/4*sqrt(3) + 1/12*sqrt(11))
P(-1/3, 5/6*sqrt(3) + -1/6*sqrt(11))
P(7/32 + -1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), 7/96*sqrt(3) + 7/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(7/32 + 1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -7/96*sqrt(3) + 7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/16*sqrt(5) + 7/48*sqrt(33), -7/48*sqrt(3) + 1/16*sqrt(55))
P(-7/32 + 1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), -7/96*sqrt(3) + -7/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-7/32 + -1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), 7/96*sqrt(3) + -7/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-1/16*sqrt(5) + -7/48*sqrt(33), 7/48*sqrt(3) + -1/16*sqrt(55))
P(-7/32 + -1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), 7/96*sqrt(3) + 7/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-7/32 + 1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), -7/96*sqrt(3) + 7/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(1/16*sqrt(5) + -7/48*sqrt(33), -7/48*sqrt(3) + -1/16*sqrt(55))
P(7/32 + 1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), -7/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(7/32 + -1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), 7/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/16*sqrt(5) + 7/48*sqrt(33), 7/48*sqrt(3) + 1/16*sqrt(55))
P(-7/16 + 7/48*sqrt(33), -1/16*sqrt(15) + 1/16*sqrt(55))
P(7/16 + -7/48*sqrt(33), 1/16*sqrt(15) + -1/16*sqrt(55))
P(7/32 + 3/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), -7/32*sqrt(3) + 7/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-7/32 + 3/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -7/32*sqrt(3) + 7/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(7/32 + -3/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), 7/32*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-7/32 + -3/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), 7/32*sqrt(3) + -7/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(7/16 + 1/16*sqrt(5), -7/48*sqrt(3) + 1/16*sqrt(15))
P(1/8*sqrt(5), -7/24*sqrt(3))
P(-7/16 + 1/16*sqrt(5), -7/48*sqrt(3) + -1/16*sqrt(15))
P(-7/16 + -1/16*sqrt(5), 7/48*sqrt(3) + -1/16*sqrt(15))
P(-1/8*sqrt(5), 7/24*sqrt(3))
P(7/16 + -1/16*sqrt(5), 7/48*sqrt(3) + 1/16*sqrt(15))
P(7/32 + -5/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), 35/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-7/32 + -5/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), 35/96*sqrt(3) + -7/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-21/32 + -1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), 7/96*sqrt(3) + -7/32*sqrt(11) + -3/32*sqrt(15) + 1/32*sqrt(55))
P(-1 + 1/3*sqrt(33), 1/3*sqrt(3))
P(-1 + 1/3*sqrt(33), -1/3*sqrt(3))
P(-5/4 + 1/4*sqrt(33), 1/12*sqrt(3) + -1/4*sqrt(11))
P(-3/4 + 1/4*sqrt(33), -1/12*sqrt(3) + -1/4*sqrt(11))
P(-1 + 1/6*sqrt(33), -1/6*sqrt(3))
P(-19/12 + 1/12*sqrt(33), -1/12*sqrt(3) + 1/12*sqrt(11))
P(-17/12 + 1/12*sqrt(33), 1/4*sqrt(3) + -1/12*sqrt(11))
P(-5/6, -1/3*sqrt(3) + 1/6*sqrt(11))
P(-17/12 + 1/12*sqrt(33), -1/4*sqrt(3) + 1/12*sqrt(11))
P(-19/12 + 1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(-7/6, -1/3*sqrt(3) + 1/6*sqrt(11))
P(-7/6, 1/3*sqrt(3) + -1/6*sqrt(11))
P(-1, -1/6*sqrt(3) + 1/6*sqrt(11))
P(-5/4 + 1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(-2 + 1/6*sqrt(33), 1/6*sqrt(3))
P(-5/4 + 1/12*sqrt(33), -7/12*sqrt(3) + 1/4*sqrt(11))
P(-5/6, 1/6*sqrt(3))
P(-5/6, -1/6*sqrt(3))
P(-17/12 + 1/12*sqrt(33), 1/12*sqrt(3) + 1/12*sqrt(11))
P(-13/12 + 1/12*sqrt(33), 1/4*sqrt(3) + -1/12*sqrt(11))
P(-17/12 + 1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
P(-5/4 + 1/12*sqrt(33), -1/4*sqrt(3) + 1/4*sqrt(11))
P(-3/2 + 1/6*sqrt(33), 0)
P(-5/4 + 1/12*sqrt(33), 1/4*sqrt(3) + -1/4*sqrt(11))
P(-19/12 + 1/12*sqrt(33), -5/12*sqrt(3) + 1/12*sqrt(11))
P(-5/6, 1/6*sqrt(11))
P(-11/12 + 1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(-13/12 + 1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
